"OBJECTID","REGIONNAME","WOREDANO_","WOREDANAME","woreda_id","Woredda_ID","area_ha","objectid_1","luc_ha1198","luc_ha2198","luc_ha3198","luc_ha4198","luc_ha5198","luc_ha6198","luc_ha7198","luc_ha8198","luc_ha9198","luc_ha1019","luc_ha1201","luc_ha2201","luc_ha3201","luc_ha4201","luc_ha5201","luc_ha6201","luc_ha7201","luc_ha8201","luc_ha9201","luc_ha1020","r_name","woredana_1","area_ha_1","area_wt","elev_mean","elev_media","lowland","ndvi_8286","ndvi_1216","metrics","osm_download_link"
263,"Afar","020401","Awra",20401,20401,317402.62943,263,4.26574039459,8.23733711243,80.1455001831,0,45.0600128174,178.598098755,0,1.09592986107,0,0,4.19080400467,8.24448871613,58.4389953613,0,63.9948310852,181.796264648,0,0.737240314484,0,0,"Afar","Awra",317402.625,317402,690.58392334,685.527954102,"Lowland",0.106590807438,0.0977916121483,"{}","http://127.0.0.1:8111/load_and_zoom?left=40.087028957822426&bottom=11.862534784381902&right=40.748963893698416&top=12.525602267261194"
264,"Afar","020103","Aysaita",20103,20103,142046.758181,264,0.132782697678,0,0,0,53.0769844055,61.5730056763,23.5834884644,3.68050265312,0,0,0.132970124483,0,0,0,53.0775985718,84.2028808594,1.27570271492,3.35761332512,0,0,"Afar","Aysaita",142046.765625,142046,458.403869629,355.088623047,"Lowland",0.152946591377,0.159309342504,"{""landuse_farm"":2,""area_landuse_farm"":87.07395814214117,""landuse_industrial"":1,""area_landuse_industrial"":1.5179337586885004}","http://127.0.0.1:8111/load_and_zoom?left=41.31370345594406&bottom=11.22205173206885&right=41.79699593524505&top=11.778700581159391"
521,"Oromia","040101","Mana Sibu",40101,0,186024.467525,521,38.1632156372,42.3397636414,23.5136814117,52.9806556702,28.0587272644,0.343982607126,0.0331538282335,0,0,0.591289758682,37.8826942444,15.4707670212,22.7776279449,74.9835586548,31.9059314728,0.458100736141,1.32944869995,0.0039931749925,0,1.21234643459,"Oromia","Mana Sibu",186024.46875,186024,1493.15600586,1469.52526855,"Lowland",0.254060804844,0.279831409454,"{}","http://127.0.0.1:8111/load_and_zoom?left=34.78264266578879&bottom=9.466369353934482&right=35.23224611118139&top=9.99676692491352"
265,"Afar","020104","Afambo",20104,20104,196794.055284,265,0.910344481468,4.40147161484,0,0,48.0261726379,105.826461792,18.1938209534,19.4357891083,0,0,0.901418626308,4.40206718445,0,0,48.0245399475,121.997940063,2.14781522751,19.3202781677,0,0,"Afar","Afambo",196794.0625,196794,403.074005127,345.180480957,"Lowland",0.0825603082776,0.0692273974419,"{}","http://127.0.0.1:8111/load_and_zoom?left=41.478982775575226&bottom=10.962071838637515&right=41.776894405099156&top=11.54374035757984"
266,"Afar","020303","Gewane",20303,20303,899990.69122,266,15.2679014206,203.433761597,83.4017486572,4.38013458252,91.258026123,488.352996826,12.9100732803,0.977526366711,0,0.00852384977043,19.3864383698,16.2073364258,263.334899902,7.52343940735,92.4119491577,492.645721436,7.36326646805,0.97789722681,0,0.139753133059,"Afar","Gewane",899990.6875,899990,680.092407227,691.615661621,"Lowland",0.123582608998,0.138091549277,"{""landuse_farm"":3,""area_landuse_farm"":16.94565949563414}","http://127.0.0.1:8111/load_and_zoom?left=40.319953002077646&bottom=9.690026453060698&right=41.166429687593464&top=11.198124191514125"
267,"Afar","020305","Bure Mudaytu",20305,20305,114745.79761,267,6.08940792084,16.0403251648,25.8895282745,4.12014770508,9.23938274384,39.8323059082,4.90626096725,8.62843894958,0,0,10.2768335342,13.531920433,22.9293403625,4.81123304367,8.14305114746,41.510269165,4.90583705902,8.6373128891,0,0,"Afar","Bure Mudaytu",114745.796875,114745,580.682006836,572.05267334,"Lowland",0.175847783685,0.208514660597,"{""landuse_farm"":1,""area_landuse_farm"":6.3819882345649805}","http://127.0.0.1:8111/load_and_zoom?left=40.35917337731366&bottom=10.00683722903607&right=40.59192489562697&top=10.641226191695885"
268,"Afar","020301","Amibara",20301,20301,405248.210344,268,21.4008388519,110.774513245,96.1016998291,9.22263240814,107.712379456,58.5428581238,0.204080104828,1.2772936821,0.000279434199911,0.0116430912167,16.4697799683,61.5020980835,128.542556763,16.1329650879,109.576568604,69.0390930176,2.37009763718,1.52498483658,0,0.0900720879436,"Afar","Amibara",405248.21875,405248,797.952819824,797.49395752,"Lowland",0.151237472892,0.159945338964,"{""landuse_farm"":2,""area_landuse_farm"":148.95041877440062,""landuse_industrial"":5,""area_landuse_industrial"":0.6252772687418175}","http://127.0.0.1:8111/load_and_zoom?left=40.09229007962438&bottom=8.967018885096746&right=40.77738431026212&top=9.945117523516753"
269,"Afar","020306","Argoba Special",20306,20306,60639.7052104,269,0.690445899963,9.13380432129,21.0552921295,1.05500054359,27.7363414764,0.968729794025,0,0,0.0000931650065468,0,0.972998917103,14.6220006943,25.1429481506,14.8450345993,2.73732805252,2.31939697266,0,0,0,0,"Afar","Argoba Special",60639.7070313,60639,1259.14990234,1237.50695801,"Lowland",0.189903393388,0.199699550867,"{}","http://127.0.0.1:8111/load_and_zoom?left=39.75070767631808&bottom=9.296391284529863&right=39.990320100071784&top=9.753959040498993"
527,"Oromia","040323","Chwaka",40323,0,43176.3082187,527,7.38957738876,31.1870441437,1.1194589138,0.0460533946753,3.42342591286,0.0105635551736,0,0,0,0.000185325538041,14.8733558655,9.97771167755,1.38974142075,12.7389411926,4.06572818756,0.0117672625929,0,0,0,0.119062453508,"Oromia","Chwaka",43176.3085938,43176,1343.55883789,1297.57556152,"Lowland",0.342760711908,0.344858586788,"{}","http://127.0.0.1:8111/load_and_zoom?left=36.00530863407602&bottom=8.784157268971965&right=36.24334977504036&top=9.080031575701659"
270,"Afar","020304","Dulecha",20304,20304,130442.910737,270,9.57015800476,33.796749115,32.1364784241,3.46578621864,38.83020401,12.6405563354,0.0022359311115,0.000745310331695,0,0,7.08360767365,17.6620616913,59.421710968,1.24109876156,11.8646469116,31.1913509369,0.731373369694,1.24706149101,0,0,"Afar","Dulecha",130442.914063,130442,836.569580078,808.505187988,"Lowland",0.177071109414,0.209717750549,"{}","http://127.0.0.1:8111/load_and_zoom?left=39.89780919001808&bottom=9.26578890545408&right=40.28187172296113&top=9.730538773527433"
13,"Tigray","010105","Asgede Tsimbila",10105,10105,256432.516196,13,4.71442747116,58.4964866638,125.043991089,55.8274650574,9.61332321167,2.63516664505,0,0,0,0.101659588516,6.25558948517,32.0857429504,78.5277404785,63.2773208618,55.550693512,20.5892391205,0,0,0,0.146190091968,"Tigray","Asgede Tsimbila",256432.515625,256432,1219.7833252,1171.49743652,"Lowland",0.235884696245,0.238903105259,"{""building_commerce"":1,""area_building_commerce"":0.07007714701354284}","http://127.0.0.1:8111/load_and_zoom?left=37.597592884901125&bottom=13.725014184088117&right=38.31564814575784&top=14.221362731582852"
271,"Afar","020302","Awash Fentale",20302,20302,109200.134902,271,11.0893259048,26.6951332092,18.1193752289,0.362586408854,47.0840911865,5.82396888733,0,0.0164516270161,0,0.00920175667852,7.15990257263,22.8829307556,35.7074012756,2.40686559677,31.1910095215,8.96335601807,0,0.675818502903,0,0.212848901749,"Afar","Awash Fentale",109200.132813,109200,892.50970459,873.546081543,"Lowland",0.168563619256,0.188191130757,"{""landuse_farm"":4,""area_landuse_farm"":149.43416875069897,""landuse_industrial"":1,""area_landuse_industrial"":0.12413853074078435}","http://127.0.0.1:8111/load_and_zoom?left=39.81301331525492&bottom=8.840629298064057&right=40.17439954881854&top=9.300729288005462"
272,"Afar","020206","Dalul",20206,20206,320205.771833,272,2.84333014488,2.72330760956,83.0409698486,0.0734596028924,1.63703083992,229.500915527,0,0.386771559715,0,0,0.62865537405,1.19696140289,139.803283691,2.33694767952,0.944766581059,167.324432373,0,7.97074508667,0,0,"Afar","Dalul",320205.78125,320205,579.159729004,535.600708008,"Lowland",0.0832279250026,0.067146666348,"{""building_commerce"":1,""area_building_commerce"":0.023091732154895184}","http://127.0.0.1:8111/load_and_zoom?left=39.64996278321735&bottom=13.97129253715279&right=40.44451028581282&top=14.498050333817929"
273,"Afar","020202","Koneba",20202,20202,60345.8800784,273,2.13947820663,0.287346690893,27.1206626892,0.0000961347177508,0.143048465252,30.6552467346,0,0,0,0,4.86399507523,1.22546827793,23.8316917419,1.06116890907,2.81847143173,26.5450839996,0,0,0,0,"Afar","Koneba",60345.8789063,60345,1078.74902344,1063.44445801,"Lowland",0.105663888156,0.087339438498,"{}","http://127.0.0.1:8111/load_and_zoom?left=39.801657988429525&bottom=13.7475796878434&right=40.10140654784362&top=14.034011639313691"
274,"Afar","020205","Berahle",20205,20205,757154.49461,274,3.13442850113,3.11195254326,85.5657730103,0.13879352808,1.68895864487,646.229003906,0,17.2856044769,0,0,4.36810541153,2.50433421135,48.6816558838,0.223510369658,15.0728788376,671.608520508,0,14.6954946518,0,0,"Afar","Berahle",757154.5,757154,227.145339966,39.6070671082,"Lowland",0.0735655575991,0.0580717884004,"{}","http://127.0.0.1:8111/load_and_zoom?left=39.71951747705236&bottom=13.435012968743994&right=41.16864197583014&top=14.363459338625601"
275,"Afar","020203","Ab Ala",20203,20203,129023.237257,275,2.76155352592,5.17500638962,44.2748947144,0.239211529493,17.1437168121,59.4279899597,0,0,0,0.000861161504872,2.36064553261,4.90089178085,33.5349273682,8.02012825012,17.1696281433,63.0016098022,0,0,0,0.0354034639895,"Afar","Ab Ala",129023.234375,129023,1171.60949707,1147.39404297,"Lowland",0.111847884953,0.104635432363,"{""building_commerce"":1,""area_building_commerce"":0.17378624229915474,""landuse_industrial"":1,""area_landuse_industrial"":0.030370860709439697}","http://127.0.0.1:8111/load_and_zoom?left=39.71884638882275&bottom=13.199423579483108&right=40.2018246356407&top=13.475681037639164"
276,"Afar","020204","Megale",20204,20204,163581.309545,276,4.61562252045,9.35598087311,59.1131401062,0,20.4648551941,70.0317153931,0,0,0,0,3.3491590023,10.0856513977,56.0693283081,1.76443314552,18.9902744293,73.3224639893,0,0,0,0,"Afar","Megale",163581.3125,163581,1113.81384277,1139.57971191,"Lowland",0.119672901928,0.111515805125,"{""landuse_industrial"":1,""area_landuse_industrial"":0.05287939987872467}","http://127.0.0.1:8111/load_and_zoom?left=39.80316346153946&bottom=12.774254135858573&right=40.19570251636811&top=13.228044049072262"
277,"Afar","020404","Yalo",20404,20404,181383.034856,277,1.51691019535,11.9605865479,82.505897522,0.0282441433519,37.819858551,47.5515365601,0,0,0,0,1.51669847965,11.913819313,64.9690704346,0.71636402607,38.203704834,64.063369751,0,0,0,0,"Afar","Yalo",181383.03125,181383,991.598144531,955.490234375,"Lowland",0.131428867579,0.128185048699,"{}","http://127.0.0.1:8111/load_and_zoom?left=39.80626587601811&bottom=12.303194993101414&right=40.198801765183724&top=12.84194361068015"
278,"Afar","020405","Gulina",20405,20405,121135.247815,278,2.3518075943,11.9045915604,44.980758667,0.0656177252531,15.7708215714,46.0616493225,0,0,0,0,1.91702616215,12.0660667419,33.6875839233,0.320879280567,23.6549854279,49.4886131287,0,0,0,0.0000948224842432,"Afar","Gulina",121135.25,121135,914.420593262,885.506652832,"Lowland",0.134960517287,0.11751717329,"{}","http://127.0.0.1:8111/load_and_zoom?left=39.79986076856646&bottom=11.926591209481511&right=40.19797029443826&top=12.3379151591312"
279,"Afar","020402","Ewa",20402,20402,125848.903814,279,2.48362278938,8.59191608429,67.0423965454,0.537219464779,25.7672328949,21.4265213013,0,0,0,0,1.30879831314,9.33955764771,20.8774757385,4.45878887177,68.4387130737,21.4255752563,0,0,0,0,"Afar","Ewa",125848.90625,125848,915.231750488,889.577514648,"Lowland",0.134879052639,0.122851058841,"{}","http://127.0.0.1:8111/load_and_zoom?left=39.87304890967221&bottom=11.664480789549422&right=40.32485941241157&top=12.121455161573932"
22,"Tigray","010501","Kafta Humera",10501,10501,658345.082066,22,10.8528966904,261.162872314,255.442733765,106.319297791,23.1796760559,1.28798472881,0.00154272769578,0,0,0.0980596318841,5.99410676956,99.137878418,246.469802856,166.477462769,132.530944824,7.05963373184,0.000771491962951,0,0,0.674476861954,"Tigray","Kafta Humera",658345.0625,658345,843.285705566,779.510131836,"Lowland",0.2259208709,0.242220550776,"{""landuse_industrial"":3,""area_landuse_industrial"":1.4659904279211644,""building_commerce"":1,""area_building_commerce"":0.1675503739958089,""landuse_farm"":10,""area_landuse_farm"":0.4001510606800968}","http://127.0.0.1:8111/load_and_zoom?left=36.45049146097231&bottom=13.666285215564175&right=37.54456566695451&top=14.444857481692473"
280,"Afar","020106","Chifra",20106,20106,343874.025062,280,7.95155858994,23.622751236,144.687133789,0.0960374251008,47.8514709473,119.665084839,0,0,0,0,6.98381471634,23.6895961761,109.497428894,2.0759935379,81.4844512939,120.142745972,0,0,0,0,"Afar","Chifra",343874.03125,343874,827.458251953,821.453735352,"Lowland",0.113598875701,0.11381046474,"{}","http://127.0.0.1:8111/load_and_zoom?left=39.992352046125326&bottom=11.316914857729207&right=40.74459063528225&top=11.943743327763983"
281,"Afar","020105","Mile",20105,20105,354128.368321,281,15.9420223236,5.97036218643,31.7904682159,0.0240060929209,75.4267654419,220.459915161,1.7701433897,2.70751070976,0,0.0371859073639,16.8932151794,3.71836781502,31.5837669373,0.441154301167,76.0258712769,222.606399536,0.095272757113,2.71169614792,0,0.0526259616017,"Afar","Mile",354128.375,354128,529.431274414,493.486663818,"Lowland",0.0968078821898,0.0946968048811,"{}","http://127.0.0.1:8111/load_and_zoom?left=40.4622849152681&bottom=10.77971363710168&right=41.26816079882383&top=11.608682899519687"
282,"Afar","020501","Telalak",20501,20501,142851.539224,282,5.00056838989,18.9373931885,44.1044540405,0,33.1996459961,41.6094856262,0,0,0,0,4.78035640717,18.5437507629,36.9088935852,0.558018624783,36.8160629272,45.2444648743,0,0,0,0,"Afar","Telalak",142851.546875,142851,722.089599609,657.462097168,"Lowland",0.11961748451,0.119196228683,"{}","http://127.0.0.1:8111/load_and_zoom?left=40.123771523485026&bottom=10.915161270294462&right=40.64819776711932&top=11.248966127015816"
25,"Tigray","010102","Laelay Adiyabo",10102,10102,190013.731584,25,4.03771877289,59.2136955261,84.1554412842,30.0827713013,7.20892953873,5.08793497086,0,0.0368767902255,0,0.190369173884,4.69351482391,24.5572795868,59.0746269226,73.6994476318,19.9376144409,7.82574224472,0,0.0386146530509,0,0.186894923449,"Tigray","Laelay Adiyabo",190013.734375,190013,1484.87011719,1515.51831055,"Lowland",0.200422286987,0.205238744617,"{}","http://127.0.0.1:8111/load_and_zoom?left=37.89746267375951&bottom=14.099111574264272&right=38.457529963465134&top=14.689591854634674"
283,"Afar","020504","Artuma",20504,20504,45690.7764363,283,0.0209098663181,3.96865510941,23.6749382019,0.0142524652183,15.0566978455,2.95532369614,0,0,0,0,1.16269636154,15.8566465378,13.3694133759,1.16447782516,7.04068899155,6.71297740936,0.383877307177,0,0,0,"Afar","Artuma",45690.7773438,45690,896.477661133,925.523376465,"Lowland",0.147468522191,0.175650924444,"{}","http://127.0.0.1:8111/load_and_zoom?left=40.114510127366025&bottom=10.470404335980138&right=40.398295457094754&top=10.699467031511867"
284,"Afar","020503","Dewe",20503,20503,108837.103745,284,1.86813986301,18.0661010742,40.8288879395,0.0723823234439,21.1441822052,26.8574085236,0,0,0,0,2.47042107582,26.4629096985,24.7568798065,0.154530405998,20.3351135254,34.657245636,0,0,0,0,"Afar","Dewe",108837.101563,108837,810.077392578,849.539001465,"Lowland",0.130892708898,0.154835522175,"{}","http://127.0.0.1:8111/load_and_zoom?left=40.102545855067326&bottom=10.610146450870692&right=40.46584588915667&top=10.968206259158615"
285,"Afar","020502","Simurobi Gele'alo",20502,20502,135077.238009,285,0.496667563915,28.7684345245,67.3467788696,3.73467111588,30.694316864,4.03636932373,0,0,0,0,1.68086230755,24.3187656403,75.7817611694,8.35528945923,2.52759623528,22.3996067047,0.00149401684757,0.000373504211893,0,0.011485254392,"Afar","Simurobi Gele'alo",135077.234375,135077,913.790771484,859.427856445,"Lowland",0.160989969969,0.198008537292,"{}","http://127.0.0.1:8111/load_and_zoom?left=39.922739877180085&bottom=9.679518105895154&right=40.36397356815349&top=10.145817832526998"
543,"Oromia","040915","Hawi Gudina",40915,0,315482.725288,543,3.94418215752,142.409683228,99.2382736206,16.2562007904,40.5516853333,13.0827035904,0,0,0,0,5.66993665695,125.737579346,95.3799591064,44.8652229309,26.7892456055,17.040769577,0,0,0,0,"Oromia","Hawi Gudina",315482.71875,315482,1404.87365723,1443.53479004,"Lowland",0.216412052512,0.230383753777,"{}","http://127.0.0.1:8111/load_and_zoom?left=40.351414134131325&bottom=7.877968556959715&right=41.15090133682863&top=8.387330826456399"
286,"Afar","020505","Fursi",20505,20505,129858.480427,286,1.05114376545,13.8411207199,65.9164505005,1.54554641247,26.7713127136,20.7328987122,0,0,0,0,4.46560049057,17.5297451019,57.9801750183,0.578172147274,6.88471317291,42.4018173218,0.0182521566749,0,0,0,"Afar","Fursi",129858.476563,129858,772.891784668,709.477478027,"Lowland",0.128487959504,0.152353718877,"{}","http://127.0.0.1:8111/load_and_zoom?left=40.12899366648849&bottom=10.059907323940015&right=40.454125794223536&top=10.630066244117184"
545,"Somali","0508061","Hargele",508061,0,239877.311713,545,2.0304145813,183.733642578,48.5591239929,0.0159609448165,5.20691633224,0.330619573593,0.000638437806629,0,0,0,0.876848518848,145.703338623,83.6025314331,0.0202497001737,9.19236087799,0.473131507635,0.00884784199297,0,0,0,"Somali","Hargele",239877.3125,239877,513.481201172,485.516601563,"Lowland",0.156626537442,0.176842302084,"{}","http://127.0.0.1:8111/load_and_zoom?left=42.020288843996816&bottom=5.255744099918468&right=42.692943557617966&top=5.70971664925221"
546,"Afar","0202071","Bidu",202071,0,478431.153567,546,0.947929143906,0,6.88437223434,0,0.177790313959,470.421051025,0,0,0,0,0.950785815716,0,13.5511035919,0,0.0799387991428,463.849334717,0,0,0,0,"Afar","Bidu",478431.15625,478431,241.19821167,131.54498291,"Lowland",0.0812036767602,0.0671488419175,"{}","http://127.0.0.1:8111/load_and_zoom?left=41.07753308530501&bottom=12.709098564646029&right=41.89903958383745&top=13.467183483064803"
547,"Afar","0201011","Kurri",201011,0,539724.588378,547,0.724766016006,0.0734361112118,21.3431186676,0,9.7695684433,506.727233887,1.04786586761,0.038570586592,0,0,0.431778967381,0,20.5806083679,0,10.6196727753,507.789245605,0.264197438955,0.0390453599393,0,0,"Afar","Kurri",539724.5625,539724,442.105773926,451.633453369,"Lowland",0.0856377780437,0.0722132325172,"{}","http://127.0.0.1:8111/load_and_zoom?left=40.612954396241136&bottom=11.964796844197494&right=41.30129849262491&top=12.997322676409825"
33,"Tigray","010101","Tahtay Adiyabo",10101,10101,418918.716194,33,7.8572268486,158.709579468,161.761993408,23.5594615936,45.1130409241,21.8110408783,0,0,0,0.106379233301,8.71426391602,51.6579475403,151.322189331,90.9583129883,97.8545608521,18.0341472626,0,0.00475261779502,0,0.372547030449,"Tigray","Tahtay Adiyabo",418918.71875,418918,1092.79907227,1057.49511719,"Lowland",0.205174028873,0.210972711444,"{""landuse_industrial"":1,""area_landuse_industrial"":0.0488444953381713,""building_commerce"":4,""area_building_commerce"":0.15617310220153705}","http://127.0.0.1:8111/load_and_zoom?left=37.34322147340608&bottom=14.049355622479458&right=38.17019159376848&top=14.845691900304146"
548,"Afar","0201051","Adaa'r",201051,0,144242.707111,548,2.65743684769,20.6429214478,59.1134376526,0,18.2105407715,43.6183662415,0,0,0,0,2.17693305016,20.2386283875,36.8568534851,2.49317193031,35.6219482422,46.8551635742,0,0,0,0,"Afar","Adaa'r",144242.703125,144242,708.673522949,657.42578125,"Lowland",0.10652191937,0.105776466429,"{}","http://127.0.0.1:8111/load_and_zoom?left=40.1025775853598&bottom=11.117545158239194&right=40.703515187780496&top=11.522143937796493"
549,"SNNPR","070803","Yeki",70803,0,52806.1404622,549,43.7748451233,1.95424318314,0.0719544738531,6.65450382233,0.133996859193,0.029277395457,0,0,0,0.187320262194,37.4100341797,1.96009993553,0.0264320261776,12.7455596924,0.110225223005,0.0296442508698,0,0,0,0.524143397808,"SNNPR","Yeki",52806.140625,52806,1499.2598877,1291.52661133,"Lowland",0.281489878893,0.280938923359,"{}","http://127.0.0.1:8111/load_and_zoom?left=35.33392077138098&bottom=7.117876063838581&right=35.66677440407328&top=7.426023682029668"
36,"Tigray","010210","Tanqua Abergele",10210,10210,154136.712844,36,3.63878917694,6.82368755341,53.6744384766,36.960521698,6.88047170639,46.1588058472,0,0,0,0,0.260945320129,10.4016160965,29.2913761139,45.6263618469,7.02206277847,60.4990005493,0,1.03535449505,0,0,"Tigray","Tanqua Abergele",154136.71875,154136,1471.37658691,1467.44848633,"Lowland",0.148796364665,0.166967794299,"{""landuse_industrial"":3,""area_landuse_industrial"":0.6394122597243913,""landuse_farm"":1,""area_landuse_farm"":0.028983998183630927}","http://127.0.0.1:8111/load_and_zoom?left=38.63188644103873&bottom=13.168341087851335&right=39.09901491628992&top=13.614017230213852"
37,"Tigray","010503","Tsegede",10503,10503,343877.261231,37,11.0396738052,187.941131592,77.0688476563,36.45262146,27.1575717926,4.09363222122,0,0,0,0.123768091202,5.00577878952,79.8838882446,110.728172302,60.5374298096,76.085067749,11.4323587418,0,0,0,0.204557791352,"Tigray","Tsegede",343877.25,343877,1111.79614258,903.377258301,"Lowland",0.232247203588,0.262305855751,"{""landuse_industrial"":1,""area_landuse_industrial"":0.10878559489120455}","http://127.0.0.1:8111/load_and_zoom?left=36.4755397618595&bottom=13.255513318397869&right=37.74781862866649&top=13.72086078724058"
